ADL, Adelaide, Australia
IXE, Mangalore, India
BOM, Mumbai, India
PPP, Proserpine Queensland, Australia
RKT, Ras Al Khaimah, United Arab Emirates
HKG, Hong Kong, China
DLC, Dailan, China
DLU, Dali City, China
KIV, Chisinau, Republic of Moldova
DEL, Delhi, India
LGI, Long Island/Deadmans Cay, Bahamas
MEL, Melbourne, Australia
